Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude,date,Flare,Class,ID
19280,299,130,Eao,12,4,Beta,9,82,01/01/2001,,,1928036892
19282,278,10,Hsx,1,1,Alpha,21,61,01/01/2001,,,1928236892
19283,259,80,Dao,8,6,Beta,-10,42,01/01/2001,,,1928336892
19285,249,10,Hsx,1,1,Alpha,7,32,01/01/2001,,,1928536892
19289,201,880,Eki,13,40,Beta-Gamma,-7,-16,01/01/2001,,,1928936892
19290,235,60,Dso,8,8,Beta,30,18,01/01/2001,,,1929036892
19291,208,80,Dao,8,12,Beta,-12,-9,01/01/2001,,,1929136892
19292,170,0,Hrx,0,1,Alpha,24,-47,01/01/2001,,,1929236892
19283,261,60,Dso,8,6,Beta,-10,57,02/01/2001,,,1928336893
19289,201,890,Eki,14,35,Beta-Gamma,-6,-3,02/01/2001,,,1928936893
19290,235,40,Dao,7,4,Beta,29,31,02/01/2001,,,1929036893
19291,210,120,Dso,7,9,Beta,-12,6,02/01/2001,,,1929136893
19293,163,40,Cao,3,4,Beta,13,-41,02/01/2001,,,1929336893
19294,135,40,Hsx,2,1,Alpha,22,-69,02/01/2001,,,1929436893
19283,262,60,Dao,10,6,Beta,-12,71,03/01/2001,,,1928336894
19289,201,690,Eki,14,37,Beta,-7,10,03/01/2001,,,1928936894
19290,239,20,Hsx,1,1,Alpha,28,48,03/01/2001,,,1929036894
19291,212,80,Cao,7,11,Beta,-12,21,03/01/2001,,,1929136894
19293,165,40,Dso,5,5,Beta,13,-26,03/01/2001,,,1929336894
19294,136,30,Hsx,2,1,Alpha,22,-55,03/01/2001,,,1929436894
19295,118,70,Hsx,2,1,Alpha,-12,-73,03/01/2001,,,1929536894
19296,116,70,Hax,2,1,Alpha,10,-76,03/01/2001,,,1929636894
19283,260,10,Hsx,1,1,Alpha,-11,82,04/01/2001,,,1928336895
19289,203,590,Eko,13,23,Beta,-7,25,04/01/2001,,,1928936895
19290,238,10,Hsx,1,1,Alpha,29,60,04/01/2001,,,1929036895
